,Text in Tiphaigne_Galligenes,Text in B,Location in Tiphaigne_Galligenes,Location in B
Arnaud_Sentiment_0, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"(52539, 52569)","(304195, 304224)"
Arnaud_Sentiment_1,"aient de voir, dans ses yeux, CE QUI SE PASSAIT DANS SON CŒUR. Almont, comme un homme qui a","sentit le besoin de découvrir CE QUI SE PASSAIT DANS SON CŒUR. Bell, au milieu des pleurs e","(69080, 69111)","(304195, 304224)"
Benoist_Elisabeth_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","(52534, 52569)","(204768, 204802)"
Benouville_Pensees_0,elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES CHOSES que l'on peut corriger ou cha,"(162818, 162853)","(12824, 12858)"
Charriere_Femmes_0,"sucs, quelque abondant qu'ils SAIENT. IL N'EN EST PAS DE MÊME DES climats qui inclinent au froi", on n'a rien à lui reprocher; MAIS IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,"(162810, 162845)","(121474, 121506)"
Cottin_Claire_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(52534, 52569)","(140010, 140044)"
Dorat_Malheurs_0, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(52539, 52569)","(182626, 182655)"
Dorat_Sacrifices_0," le temps „le veut. Pour moi, JE NE SAIS OÙ JE „SUIS, JE n'entends rien à ce que vous ","core plus par le désespoir... JE NE SAIS OÙ JE SUIS... JE frémis, je pleure, et crains ","(2868, 2894)","(224759, 224786)"
Genlis_Chevaliers_0,Duncan prenait plus de part à CE QUI SE PASSAIT AUTOUR DE LUI. Il regardait successivement ,er la plus légère attention à CE QUI SE PASSAIT AUTOUR DE LUI. Cependant tous les chevalier,"(1985, 2016)","(470454, 470485)"
Genlis_Chevaliers_1,"aient de voir, dans ses yeux, CE QUI SE PASSAIT DANS SON CŒUR. Almont, comme un homme qui a","ne, il n'aurait pu dissimuler CE QUI SE PASSAIT DANS SON CŒUR. Connoissant sa faiblesse, et","(69080, 69111)","(470454, 470485)"
Gerard_Comte_0," pu lui reprocher d'avoir eu, DANS TOUT LE COURS DE SA VIE, un seul ami. Son cœur ignora","le privations et mille peines DANS TOUT LE COURS DE SA VIE; elle le rend faible, délicat","(204458, 204486)","(122928, 122956)"
Laclos_Liaisons_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON cœur; mais je ne le conçois p,"r, d'où vous savez qu'on voit TOUT CE QUI SE PASSE DANS MON cabinet de toilette, et ce fu","(52534, 52564)","(383664, 383693)"
