,Text in Marmontel_Incas,Text in B,Location in Marmontel_Incas,Location in B
Arnaud_Epoux_0,"itaire lève les mains au ciel EN POUSSANT UN CRI LAMENTABLE, ET TOMBE oppressé de douleur. Bien-tôt"," elle se jette dans mes bras, EN POUSSANT UN CRI LAMENTABLE, ET TOMBE à mes pieds, sans connaissanc","(144820, 144859)","(255021, 255060)"
Arnaud_Matinees_0,"bant à ses pieds, tout baigné DE SES LARMES, EST-IL POSSIBLE QUE le refus d'être ingrat, perfi","nous aimerons. (Et elle serraiT SON ÉPOUX CONTRE SON SEIN EN L'INONdant de ses larmes. 
) Est-il ","(174832, 174866)","(109102, 109139)"
Arnaud_Sentiment_0," à ces mots le jeune cacique, LAISSANT TOMBER SA TÊTE SUR SES GENOUX, et de ses mains cachant ses "," tourments! 
À ces mots, elle LAISSE TOMBER SA TÊTE SUR SES MAINS, et verse un torrent de larme","(66824, 66862)","(314697, 314732)"
Arnaud_Sentiment_1," à sa gloire. ô superstition! LE PEUPLE LE PLUS DOUX, LE PLUS humain de l'univers, criait v","st parmi mes semblables, chez LE PEUPLE LE PLUS DOUX, LE PLUS poli que j'ai vécu, en France","(415638, 415669)","(314697, 314732)"
Benoist_Elisabeth_0,"ais Gonsalve, dans ce moment, NE POUVAIT SE RÉSOUDRE À SE SÉPARER DE Las-Casas. "" mon ami, lui dit",r huit jours de cet homme qui NE POUVAIT SE RÉSOUDRE À SE SÉPARER DE moi un instant. Je crois pouv,"(466834, 466872)","(273358, 273396)"
bible_0,he l'obscurité de ses moyens? IL EN SERA DE MÊME DE LA religion: plus elle fera d'he,"las, et son
âme est altérée ; IL EN SERA DE MÊME DE LA multitude de toutes les
natio","(166631, 166655)","(2673876, 2673900)"
Cazotte_Diable_0, victoire. Elle coûtera cher; MAIS CE N'EST PAS ICI LE MOMENT de nous ménager. Il serait in,"travagance. Je suis furieuse, MAIS CE N'EST PAS ICI LE TEMPS de quereller ; si nous sommes","(91290, 91321)","(111872, 111902)"
Cazotte_Ollivier_0," ils s'étaient fait des dieux DE TOUT CE QU'IL Y AVAIT DE PLUS hideux, de plus horrible; car","et Ollivier, ignorant le sort DE TOUT CE QU'IL AVAIT DE PLUS cher, est obligé de partir. U","(282508, 282540)","(21193, 21223)"
Charriere_Femmes_0,"les déployées. Il regarde; et NE DOUTANT PAS QUE CE NE FÛT le vaisseau de Pizarre: "" les",mérique avec Emilie; car elle NE DOUTE PAS QUE CE NE FÛT là son projet et qu'il ne dût,"(272949, 272977)","(131243, 131269)"
Crebillon_Conte_0, les voiles d'un vaisseau. Il POUSSE UN CRI DE SURPRISE ET DE JOIE; ET tous les yeux se tournent ver,"e. Schézaddin en la revoyant; POUSSA UN CRI DE SURPRISE ET DE JOIE, ET courut vers elle avec tout l'","(202947, 202987)","(51817, 51857)"
Crebillon_Conte_1,"près arrive, dans l'égarement DE LA SURPRISE ET DE LA JOIE, ce fils si tendre et si chér","ans les yeux de son amant que DE LA SURPRISE ET DE LA JOIE. Il lui sembla même, à l'ince","(367242, 367270)","(51817, 51857)"
Diderot_Religieuse_0,"à qui j'ai confié mes peines, VOUS LISEZ AU FOND DE MON CŒUR. Le reste du monde, en voyant","i, il est vrai, m'écriai-je ; VOUS LISEZ AU FOND DE MON CŒUR ; je me suis fait, je me fais","(349177, 349207)","(347215, 347245)"
Doppet_Memoires_0,"'horreur dont il était saisi. SON PREMIER SOIN FUT DE CHERCHER UNE colline, où la terre ne fût j"," PARTIE. 
ARrivée à Chambery, MON PREMIER SOIN FUT DE CHERCHER UNE maison assez commode, pour le","(198725, 198761)","(83500, 83536)"
Dorat_Sacrifices_0,a frayeur a troublé mes sens. JE NE SAIS OÙ JE SUIS; JE ne sais même qui vous êtes. Q,"core plus par le désespoir... JE NE SAIS OÙ JE SUIS... JE frémis, je pleure, et crains ","(303963, 303988)","(224759, 224786)"
Fievee_Dot_0,es prix n'a honoré ses mains; IL EN VERSE DES LARMES DE DÉPIT ET de honte. L'un des vieillards,"dulgence, madame, me répondit-IL EN VERSANT DES LARMES DE DÉPIT, ET vous me traitez comme un mons","(46270, 46304)","(36332, 36369)"
Genlis_Adele_0,"il allait se brûler avec lui; JE LE RETINS, ET JE LUI DIS: "" que fais-tu? Tu nous aband",a portière et pour descendre; JE LE RETINS ET JE LUI DIS: je parie que le cœur vous ba,"(83329, 83356)","(377505, 377531)"
Genlis_Chevaliers_0,"eureux étendus sur les bancs, LEVER LES MAINS VERS LE CIEL, AVEC des plaintes lamentables, ou ","e sceau auprès de son lit; il LEVA LES MAINS VERS LE CIEL, AVEC l'expression de la plus vive ","(244807, 244841)","(52823, 52856)"
Gerard_Comte_0,"ssible. L'oubli sera pour eux LE PLUS GRAND DE TOUS LES BIENFAITS. "" "" vous ne pensez donc pas,","qu'envers Dieu, le premier et LE PLUS GRAND DE TOUS LES BIENFAITEURS, qu'il nous sera permis d'êtr","(172966, 173001)","(920062, 920100)"
Laclos_Liaisons_0,"e ou d'arracher votre secret. CE QUE JE VOUS DIS LÀ, JE L'AI dit de même au cacique.C'est ","uiéter à un certain point, de CE QUE JE VOUS DIS LÀ. JE N'AI dans le fond nulle raison de ","(162312, 162342)","(405634, 405664)"
Lagrave_Zabeth_0,"entrer ce religieuxvénérable, NE DOUTA POINT QUE CE NE FÛT encore un nouveau martyr de l",invisible m'a fait passer. Je NE DOUTE POINT QUE CE NE FÛT celle de mon père. J'ai fait ,"(152534, 152562)","(187484, 187512)"
LaPlace_Collection_0,riez vous-mêmes. Laissez-moi. JE N'AI PLUS QUE QUELQUES JOURS À VIVRE. Ce n'est pas la peine de pri,".... Vous voyez ma situation: JE N'AI PLUS QUE QUELQUES JOURS À „VIVRE; je me soumets, sans murmure,","(186338, 186377)","(186440, 186480)"
Lesuire_Aventurier_0,"avaux; les productions de nos ARTS QUI FONT LE CHARME DE LA vie, des secrets pour aider n"," poésie, la musique, tous les ARTS QUI FONT LE CHARME DE LA société: j'y joignis les math","(528460, 528489)","(339921, 339950)"
