,Text in Morelly_Naufrage,Text in B,Location in Morelly_Naufrage,Location in B
Arnaud_Epoux_0,voir un océan de splendeur? S'IL NE NOUS EST PAS POSSIBLE DE connaître la Divinité autreme,vés au comble de la disgrâce; IL NE NOUS EST PAS POSSIBLE DE fermer les yeux sur le précip,"(51998, 52028)","(253573, 253603)"
Arnaud_Sentiment_0,"âme .... ne me déguisez rien, PORTEZ À MON CŒUR LES COUPS LES PLUS terribles, arrachez-moi à une","ir ma parole.-Arrêtez... vous PORTEZ À MON CŒUR LES COUPS LES PLUS inattendus, les plus terrible","(424346, 424382)","(899229, 899265)"
Beaumont_Clarice_0,à revenir: que deviendrais-je SI J'AVAIS LE MALHEUR DE VOUS PERDRE par quelque accident funeste!,"que je resterais dans une situATION ASSEZ TRISTE, SI J'AVAIS LE MAlheur de vous perdre. Tranquil","(104089, 104125)","(95010, 95046)"
Benouville_Pensees_0,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES CHOSES que l'on peut corriger ou cha,"(120806, 120839)","(12824, 12858)"
Charriere_Femmes_0,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES cœurs que la Nature a faits p,'a rien à lui reprocher; mais IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,"(120806, 120833)","(121479, 121506)"
Charriere_Lausanne_0,"ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","est choisie. Il est payé pour TOUT CE QUE VOUS VENEZ DE DIRE; et, s'il se distingue, il ac","(352248, 352281)","(71741, 71771)"
Cottin_Claire_0,"n de poussière, briser etamp; RENVERSER TOUT CE QUI SE TROUVE SUR SON PASSAGE; de même ces masses entraînée","rédéric jette un cri perçant, RENVERSE TOUT CE QUI SE TROUVE SUR SON PASSAGE, et s'élance hors de la chamb","(266156, 266203)","(189623, 189669)"
Crebillon_Nuit_0,"ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm",". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","(352248, 352281)","(19052, 19085)"
Diderot_Jacques_0,euvent croire leurs yeux; ils SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; leurs visages se couvrent de,"teur et courtier d'usure) qui SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE... « Eh c'est vous, monsieur ","(197352, 197396)","(394387, 394431)"
Diderot_Neveu_0,"ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE est plus spécieux que solide.","(352248, 352281)","(48050, 48080)"
Dorat_Sacrifices_0,"trône, que la fatale Ennemie, JE NE PUIS PRONONCER SON NOM SANS frémir, que j'obligeai autref","dame De Senanges! Quelle âme! JE NE PUIS PRONONCER SON NOM, SANS une émotion, un trouble, un f","(214541, 214574)","(35716, 35750)"
Florian_Estelle_0,euvent croire leurs yeux; ils SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; leurs visages se couvrent de,"es deux bergers en se voyant, SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; ils restent long-temps embra","(197352, 197396)","(129961, 130005)"
Genlis_Adele_0,"ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","présent, mais je sens combien TOUT CE QUE VOUS VENEZ DE DIRE est juste et raisonnable, et ","(352248, 352281)","(1249560, 1249590)"
Genlis_Chevaliers_0," qui vient de les en combler, LES DROITS LES PLUS SACRÉS DE LA NATURE. Ils déplient leurs voiles, l",d'assujettir à leurs caprices LES DROITS LES PLUS SACRÉS DE LA NATURE et de l'amour... c'est ainsi ,"(412791, 412830)","(593995, 594034)"
Kimber_Thompson_0,"ois rien compris, sage Ami, à TOUT CE QUE VOUS VENEZ DE ME DIRE, si vous ne m'aviez précédemm","amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe","(352248, 352281)","(354331, 354361)"
Laclos_Liaisons_0," plaire; mais on estime comme LE PLUS GRAND QUI PUISSE ARRIVER À UN Mortel, celui de recevoir des",era entre ses mains ; malheur LE PLUS GRAND QUI PUISSE ARRIVER À UNE femme. Je vous conseille donc,"(181192, 181229)","(42202, 42240)"
Lagrave_Zabeth_0,"quelle est sa surprise, quand REPRENANT SES SENS, ELLE SE TROUVE DANS les bras de celui qu'elle aim"," se présenta. 
Quand elle eut REPRIS SES SENS, ELLE SE TROUVA DANS une chambre très-propre, et s","(193390, 193429)","(281952, 281988)"
Leonard_Lettres_0,ent croire leurs yeux; ils se PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; leurs visages se couvrent de,ait Faldoni: nous nous sommes PRÉCIPITÉS DANS LES BRAS L'UN DE L'AUTRE: il avait peine à respirer. E,"(197355, 197396)","(158729, 158769)"
Marmontel_Incas_0,"il me croit coupable. 
Elle n'EN PUT DIRE DAVANTAGE; LES SANGLOTS LUI COUPENT LA voix. Sa mère mêle ses larmes","éritait mieux que lui? "" il n'EN PUT DIRE DAVANTAGE: LES SANGLOTS LUI ÉTOUFFAIENT LA voix. Il fut quelques instant","(156827, 156877)","(406296, 406350)"
Riccoboni_LettreJuliette_0,"n de poussière, briser etamp; RENVERSER TOUT CE QUI SE TROUVE SUR SON PASSAGE; de même ces masses entraînée",", brise tout ce qu'il touche, RENVERSE TOUT CE QUI SE TROUVE SUR SON PASSAGE, va comme un fou au travers d","(266156, 266203)","(112709, 112755)"
Rousseau_Emile_0,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,"s, les rivières sont chaudes; IL N'EN EST PAS DE MÊME DES SOURCES, qui n'ont pas reçu le contac","(120806, 120839)","(284490, 284525)"
Rousseau_Emile_1," la Justice suprême se venge, VOUS ETAMP; VOS ERREURS, Ô NATIONS! ÊTES SES MINISTRES; sans donc, je le repète, que"," elle se venge dès cette vie. VOUS ETAMP; VOS ERREURS, Ô NATIONS ÊTES SES MINISTRES. Elle emploie les maux que vo","(370012, 370066)","(284490, 284525)"
Sade_Aline_0,"lusieurs enceintes de terres, SÉPARÉES LES UNES DES AUTRES, PAR DES eaux larges etamp; profondes,","es de terrasses au-dessus, et SÉPARÉES LES UNES DES AUTRES PAR DES haies couvertes de fleurs et ","(317954, 317991)","(860702, 860738)"
Sade_Justine_0,ue la Providence voulant unir TOUS LES PEUPLES DE LA TERRE PAR les liens d'une mutuelle corr,"
Mais non seulement, Thérèse, TOUS LES PEUPLES DE LA TERRE JOUIRENT des droits les plus étendus s","(270129, 270161)","(438716, 438753)"
Segur_Correspondance_0,"croyait encore vierge, etamp; QU'IL N'AVAIT JAMAIS RIEN VU DE SI BEAU. Effectivement, l'accablante ","lendemain à Ablons, il me dit QU'IL N'AVAIT JAMAIS RIEN VU DE SI BEAU à son gré: les lis et les ros","(23857, 23896)","(412668, 412707)"
Tiphaigne_Galligenes_0,"cune action, qui ne lui rende HOMMAGE? 
IL EST VRAI QUE NOUS NE pouvons connaître, ni désigne",l est en nous pour „avoir des HOMMES. IL EST VRAI QUE „NOUS NE réussissons guère. Il n'y a p,"(51405, 51438)","(89753, 89785)"
Tiphaigne_Galligenes_1,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,"(120806, 120839)","(89753, 89785)"
Voltaire_Princesse_0,es gens exprès pour l'avertir DE TOUT CE QUI SE PASSAIT; ETAMP; il est aisé de juger combien,r de l'état de votre santé et DE TOUT CE QUI SE PASSAIT À BABYLONE ; il comptait revenir bientôt,"(220791, 220823)","(66135, 66171)"
