original,modernisé,commentaire
saient,soient,
craient,croient,
vaient,voient,
chôse,chose,
chôses,choses,
entre'eux,entre eux,
occâsion,occasion,
chés,chez,
revait,rêvait,
crüelle,cruelle,
crüel,cruel,
bacha,pacha,
luimême,lui-même,
assèz,assez,
porphire,porphyre,
sitüâtion,situation,
emplaient,emploient,
voutes,voûtes,
fûssent,fussent,
fesait,faisait,
dispôsitions,dispositions,
pôsition,position,
choeur,chœur,
imaginâtion,imagination,
suppôser,supposer,
suppôsant,supposant,
peutêtre,peut-être,
succèz,succès,
milédi,milady,
expiroit,expirait,
actüellement,actuellement,
vertpré,vert pré,
queje,que je,
prémière,première,
regarderois,regarderais,
eûssiez,eussiez,
traitre,traître,
pâssé,passé,
ecrivez,écrivez,
souterreine,souterraine,
pourvait,pourvoit,
himen,hymen,
sirien,syrien,
considérâtion,considération,
voyés,voyez,
entrevûe,entrevue,
eüe,eue,
gnôme,gnome,
desira,désira,
gnômes,gnomes,
desiriez,désiriez,
pout,peut,
distinguois,distinguais,
estàdire,est à dire,
sacrifierois,sacrifierais,
réputâtion,réputation,
entrevait,entrevoit,
portiere,portière,
fûssiez,fussiez,
oeufs,œufs,
séparerent,séparèrent,
baillif,bailli,
ratiere,ratière,
vraiement,vraiment,
appellés,appelés,
excèz,excès,
euil,œuil,
etonné,étonné,
veillois,veillais,
rejettez,rejetez,
boeufs,bœufs,
humilians,humiliants,
assait,assoit,
amusans,amusants,
soyés,soyez,
couvrois,couvrais,
persüader,persuader,
ditil,dit-il,
entre'elles,entre elles,
,,
envaient,envoient,
rappellaient,rappelaient,
gémissois,gémissais,
evangile,évangile,
enivrois,enivrais,
bientot,bientôt,
permêt,permet,
traversois,traversais,
errois,errais,
dèz,dès,
persécutoit,persécutait,
solemnels,solennels,
làdessus,là-dessus,
appas,appâts,
manoeuvre,manœuvre,
eûssent,eussent,
fair,faire,
priéres,prières,
chérissois,chérissais,
abusois,abusais,
etant,étant,
risquois,risquais,
dispôsition,disposition,
achevent,achèvent,
rendezvous,rendez-vous,
cédois,cédois,
actüelle,actuelle,
râre,rare,
repoussois,repoussais,
écriatil,écria-t-il,
gouté,goûté,
mépriserois,mépriserais,
monterent,montèrent,
voulés,voulez,
déplaient,déplaisent,
couterait,coûterait,
bisarres,bizarres,
redisoit,redisait,
partagerois,partagerais,
menerai,mènerai,
caractérisoient,caractérisaient,
naguères,naguère,
ménétrel,ménestrel,
détesterois,détesterais,
consultois,consultais,
espiéglerie,espièglerie,
biau,beau,
lassois,lassais,
soutiendrois,soutiendrais,
idolâtrois,idolâtrais,
choeurs,chœurs,
dispôsée,disposée,
tettons,tétons,
redingotte,redingote,
retenüe,retenue,
maurisca,maurisca,
cîme,cime,
minucieuse,minutieuse,
gaité,gaieté,
connaitre,connaître,
espiégleries,espiègleries,
sautoit,sautait,
savés,savez,
rendüe,rendue,
hémisphere,hémisphère,
échaffaut,échafaud,
préférois,préférais,
deshonorée,déshonorée,
relisois,relisais,
conjurois,conjurais,
elevé,élevé,
avancerent,avancèrent,
etonnée,étonnée,
